id,name,category,trigger_event,file_name,file_path,file_exists,format,file_size_bytes,duration_category,volume_default,playback_mode,pitch_randomness,cooldown_ms,tags,description
meme_cat_laughing,Wheezing Cat Laugh Meme,meme_sfx,on_interact,Cat Laughing Meme Sound Effect..mp3,Audios/Cat Laughing Meme Sound Effect..mp3,True,mp3,178187,short,0.85,one_shot,0.02,1500,"meme;funny;cat;laughter;viral",Hysterical breathless wheezing cat laugh audio clip.
meme_omg,OMG Meme Sound Effect,reaction_voice,on_interact,OMG (meme) - Sound Effect [L6CMypl1q8I].mp3,Audios/OMG (meme) - Sound Effect [L6CMypl1q8I].mp3,True,mp3,99141,instant,0.80,one_shot,0.05,1000,"meme;voice;shock;funny",Exaggerated high-pitched OMG vocal reaction sound effect.
meme_oh_hell_na,Oh Hell Na Meme,reaction_voice,on_interact,oh hell na.mp3,Audios/oh hell na.mp3,True,mp3,41416,instant,0.90,one_shot,0.03,1200,"meme;voice;rejection;funny",Iconic viral Oh hell no comedic vocal soundbite.
meme_spongebob_later,A Few Moments Later Narrator,reaction_voice,on_idle,Spongebob a few moments later screen effect.mp3,Audios/Spongebob a few moments later screen effect.mp3,True,mp3,123644,short,0.75,one_shot,0.00,30000,"meme;spongebob;time_card;idle",Classic French narrator time card sound effect after inactivity.
sfx_aww_reaction,Collective Aww Sound Effect,reaction_voice,on_attach,Aww   Sound Effect.mp3,Audios/Aww   Sound Effect.mp3,True,mp3,173172,short,0.80,one_shot,0.02,2000,"crowd;cute;aww;kawaii",Wholesome crowd Awwww reaction audio upon attaching cute items.
meme_faaah,Faaah Dramatic Vocal Sting,meme_sfx,on_interact,Faaah.mp3,Audios/Faaah.mp3,True,mp3,21563,instant,0.85,one_shot,0.06,800,"meme;vocal;punchline",Sharp comedic punchline vocal sting for quick interactions.
sfx_helicopter_spin,Helicopter Rotor Sound Effect,ambient_motion,on_drag_move,Helicopter.mp3,Audios/Helicopter.mp3,True,mp3,61269,short,0.70,loop_while_drag,0.08,400,"mechanical;propeller;rotor;loop",Continuous rhythmic propeller rotor sound for propeller beanie.
meme_scary_music,Scary Suspense Meme Sting,musical_jingle,on_interact,Scary Music - Meme Sound Effect.mp3,Audios/Scary Music - Meme Sound Effect.mp3,True,mp3,247150,short,0.80,one_shot,0.01,4000,"meme;suspense;dramatic;violin",Dramatic screeching horror movie violin sting for gothic items.
bgm_audio_theme,Chiptune Theme Song Track,ambient_bgm,on_interact,Audio.mp3,Audios/Audio.mp3,True,mp3,619498,long,0.65,one_shot,0.00,5000,"music;theme;bgm;groovy",Upbeat musical track for party and disco accessories.
sfx_clasp_lock,Metallic Lobster Clasp Snap,physical_sfx,on_attach,clasp_lock.mp3,Audios/sfx/clasp_lock.mp3,False,mp3,18240,instant,0.90,one_shot,0.04,300,"metal;snap;click;clasp",Crisp tactile metallic snap sound when clasp locks onto eyelet.
sfx_clasp_unhook,Metallic Clasp Unhook,physical_sfx,on_detach,clasp_unhook.mp3,Audios/sfx/clasp_unhook.mp3,False,mp3,14500,instant,0.85,one_shot,0.03,300,"metal;release;spring",Subtle spring release sound when unhooking accessory.
sfx_bead_clink_gentle,Gentle Pearl Bead Clinking,physical_sfx,on_drag_move,bead_clink_gentle.mp3,Audios/sfx/bead_clink_gentle.mp3,False,mp3,28400,instant,0.55,stochastic,0.12,180,"beads;pearls;glass;clink",Soft glass and pearl beads gently tapping during movement.
sfx_bead_clink_energetic,Rapid Bead Rattle,physical_sfx,on_drag_move,bead_clink_energetic.mp3,Audios/sfx/bead_clink_energetic.mp3,False,mp3,36100,instant,0.70,stochastic,0.15,120,"beads;rattle;fast",Lively metallic and acrylic rattling during fast dragging.
sfx_bubble_pop,Water Bubble Pop,physical_sfx,on_interact,bubble_pop.mp3,Audios/sfx/bubble_pop.mp3,False,mp3,12800,instant,0.85,one_shot,0.10,250,"bubble;pop;aquatic;cute",Pleasant aquatic bubble pop sound when interacting with fish.
sfx_bell_jingle,Bright Bell Jingle Chime,physical_sfx,on_drag_move,bell_jingle.mp3,Audios/sfx/bell_jingle.mp3,False,mp3,32000,instant,0.60,stochastic,0.08,220,"bell;brass;chime;jingle",Clear resonant chime of a miniature brass bell.
sfx_rubber_squeak,Rubber Toy Squeak,physical_sfx,on_interact,rubber_squeak.mp3,Audios/sfx/rubber_squeak.mp3,False,mp3,16400,instant,0.85,one_shot,0.07,350,"squeak;duck;vinyl",High-pitched vinyl squeaker audio when clicking rubber charms.
sfx_icon_drop_thud,Soft Surface Drop Thud,physical_sfx,on_drag_release,icon_drop_thud.mp3,Audios/sfx/icon_drop_thud.mp3,False,mp3,15900,instant,0.70,one_shot,0.04,200,"drop;thud;impact;settle",Satisfying acoustic thud when dropping icon onto desktop.
sfx_swift_whoosh,Aerodynamic Swift Whoosh,ambient_motion,on_drag_move,swift_whoosh.mp3,Audios/sfx/swift_whoosh.mp3,False,mp3,22100,instant,0.50,stochastic,0.10,300,"whoosh;wind;speed;motion",Light breezy air whoosh that scales with dragging speed.
sfx_party_horn,Kazoo Party Horn Toot,musical_jingle,on_attach,party_horn.mp3,Audios/sfx/party_horn.mp3,False,mp3,29800,short,0.85,one_shot,0.06,1000,"celebration;party;horn",Comedic noisemaker horn sound celebrating accessory attach.
sfx_stamp_thump,Heavy Ink Stamp Thump,physical_sfx,on_attach,stamp_thump.mp3,Audios/sfx/stamp_thump.mp3,False,mp3,19400,instant,0.90,one_shot,0.03,500,"stamp;rubber;impact",Authoritative heavy rubber stamp impact thumping onto paper.
sfx_tape_peel,Adhesive Tape Peel,physical_sfx,on_detach,tape_peel.mp3,Audios/sfx/tape_peel.mp3,False,mp3,24300,short,0.75,one_shot,0.05,600,"tape;peel;adhesive",Crisp tactile adhesive ripping sound when unsticking stickers.
sfx_pixel_powerup,Retro 8-Bit Synth Power-Up,musical_jingle,on_attach,pixel_powerup.mp3,Audios/sfx/pixel_powerup.mp3,False,mp3,21000,instant,0.75,one_shot,0.04,600,"retro;8bit;pixel;synth",Nostalgic ascending chiptune arpeggio for retro accessories.
sfx_magic_sparkle,Celestial Wand Magic Sparkle,musical_jingle,on_attach,magic_sparkle.mp3,Audios/sfx/magic_sparkle.mp3,False,mp3,35200,short,0.80,one_shot,0.03,800,"magic;sparkle;chime",Shimmering fairy dust sparkle when equipping magical hats.
sfx_error_buzz,Rejection Error Buzzer,reaction_voice,on_error,error_buzz.mp3,Audios/sfx/error_buzz.mp3,False,mp3,18900,instant,0.80,one_shot,0.02,500,"error;buzz;rejected",Playful low buzzer sounding on invalid drop or action.
