id,name,category,subcategory,theme,rarity,primary_color,secondary_color,accent_color,finish,width_px,height_px,weight_g,damping,stiffness,max_swing_deg,anchor_type,hole_required,sound_on_attach,sound_on_move,sound_on_interact,asset_status,asset_path
pastel_pufferfish_keychain,Pastel Pufferfish Keychain,keychain,beaded_strand,pastel_kawaii,rare,#E0C3FC,#FFD1DC,#BFFCC6,pearlescent,54,136,18.5,0.82,0.35,42.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,sfx_bubble_pop,ready,assets/desktop_accessory_keychain.jpg
goldfish_ball_chain,Golden Fish Ball Chain,keychain,metal_link,classic_gold,uncommon,#FFA500,#FFD700,#FF8C00,metallic_gold,48,120,22.0,0.78,0.40,38.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,sfx_bubble_pop,in_design,assets/goldfish_ball_chain.png
pink_pufferfish_loop,Pink Pufferfish Beaded Loop,keychain,loop_chain,pastel_kawaii,uncommon,#FFB7C5,#FFE4E1,#FF69B4,glossy,56,128,19.0,0.80,0.45,36.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,sfx_bubble_pop,in_design,assets/pink_pufferfish_loop.png
blue_pufferfish_loop,Ocean Blue Pufferfish Loop,keychain,loop_chain,aquatic,uncommon,#89CFF0,#B0E0E6,#4682B4,glossy,54,128,19.2,0.81,0.44,35.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,sfx_bubble_pop,in_design,assets/blue_pufferfish_loop.png
classic_pearl_strand,Classic Iridescent Pearl Strand,charm,beaded_strand,vintage_gold,rare,#FDFBF7,#EAE6DF,#D4AF37,pearlescent,32,140,15.0,0.88,0.25,48.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,sfx_bead_clink_gentle,in_design,assets/classic_pearl_strand.png
shiba_paw_charm,Shiba Inu Paw Bead Strap,strap,beaded_strand,pastel_kawaii,common,#F4A460,#FFDAB9,#FF6B81,matte,44,130,14.2,0.84,0.38,40.0,top_right_hook,True,sfx_aww_reaction,sfx_bead_clink_gentle,sfx_rubber_squeak,planned,assets/shiba_paw_charm.png
lucky_maneki_neko,Lucky Maneki-Neko Charm,charm,metal_link,oriental_traditional,rare,#FFFFFF,#E74C3C,#F1C40F,glossy,42,124,24.5,0.76,0.48,34.0,top_right_hook,True,sfx_bell_jingle,sfx_bell_jingle,sfx_bell_jingle,planned,assets/lucky_maneki_neko.png
tiny_brass_jingle_bell,Vintage Brass Jingle Bell,bell,metal_link,vintage_gold,common,#DAA520,#B8860B,#FFF8DC,metallic_gold,36,80,28.0,0.72,0.60,30.0,top_right_hook,True,sfx_bell_jingle,sfx_bell_jingle,sfx_bell_jingle,planned,assets/tiny_brass_jingle_bell.png
pixel_heart_charm,8-Bit Pixel Heart Pendant,charm,metal_link,retro_pixel,uncommon,#FF0044,#880022,#FFFFFF,matte,46,110,12.0,0.85,0.42,44.0,top_right_hook,True,sfx_pixel_powerup,sfx_bead_clink_gentle,sfx_pixel_powerup,planned,assets/pixel_heart_charm.png
squeaky_yellow_duck,Squeaky Rubber Duck Charm,keychain,metal_link,meme,uncommon,#FFD700,#FF4500,#111111,glossy,50,115,16.0,0.80,0.35,40.0,top_right_hook,True,sfx_rubber_squeak,sfx_bead_clink_gentle,sfx_rubber_squeak,planned,assets/squeaky_yellow_duck.png
